s_0,s_1,s_2,filters_0,filters_1,filters_2,filters_3,filters_4,filters_5,k_0,k_1,k_2,k_3,k_4,k_5,activation,activ_dense,dropout_0,dropout_1,dropout_2,dropout_3,dropout_4,dropout_5,dropout_6,lr,l2,dense_size_0,dense_size_1,max_pooling,stack_0,stack_1,stack_2,perf,time
4,3,1,91,121,201,493,502,94,2,1,1,4,5,5,relu,softmax,0.5275124527214592,0.2683356926036148,0.13423010571170557,0.7465725537190242,0.7528698098008765,0.7330590262377971,0.5805779719431879,0.007176104592538287,0.007460363758432705,458,1360,True,2,2,2,0.10000000149011612,527.4936220645905
3,1,1,16,299,77,28,425,78,4,7,6,7,5,1,relu,softmax,0.7033434040302822,0.13643760483296852,0.5824471334186504,0.8256840932655231,0.6118562854143507,0.7299214101461112,0.09808337665723119,0.0026939911684319977,0.002077938307264871,847,1949,True,2,2,2,0.14640000462532043,653.6253938674927
1,4,2,30,546,582,584,22,342,2,2,1,6,6,4,relu,softmax,0.8318146883557115,0.7425367691719192,0.7594980302494123,0.6057114607757375,0.27412890657905326,0.0320764595531715,0.842090259917296,0.009719337769690188,0.0031287103360468946,634,1428,True,2,2,2,0.10000000149011612,1167.715125322342
3,2,3,459,568,326,319,331,392,1,2,4,6,1,5,relu,softmax,0.16590637077588227,0.05836014856538425,0.6863896763549393,0.38470345435169545,0.5639830485437494,0.654836733040836,0.611388205615545,5.056525700588791e-05,0.008816495169939641,252,166,True,2,2,2,0.10239999741315842,1255.3057157993317
3,1,4,163,453,26,118,348,80,7,1,7,5,3,6,relu,softmax,0.8363532937107113,0.6456938314459195,0.6863905143854367,0.18132333159888647,0.2107826411108755,0.469145765764121,0.15489814638634947,0.0031326215235078043,0.0037790843864686863,1444,111,True,2,2,2,0.11240000277757645,1305.891932964325
3,4,3,82,460,550,366,264,113,2,1,5,7,7,2,relu,softmax,0.7059995434482355,0.6108451254614563,0.42552928965681114,0.8097846562352781,0.30255033688993915,0.26489662659067004,0.7855179646082477,0.00359813477908741,0.008311252213789568,197,655,True,2,2,2,0.10000000149011612,1337.4460887908936
1,4,4,129,88,440,443,134,162,5,5,1,1,7,3,relu,softmax,0.18942389080563168,0.32941839252221766,0.7923145727848325,0.11861668390401289,0.11001955122714493,0.4445825497248564,0.24877672287889632,0.0018381471888549677,0.007133262359833731,1957,1600,True,2,2,2,0.20589999854564667,1443.3219273090363
3,4,3,314,194,320,218,129,372,3,2,2,6,7,4,relu,softmax,0.056777026156926626,0.7102316647241079,0.47661148865256703,0.0261446140059704,0.03646021282686275,0.5514055500802341,0.7255025747743878,0.003551071586755907,0.008047421454503906,1154,1986,True,2,2,2,0.10000000149011612,1166.9450161457062
4,3,4,444,403,415,356,396,389,3,4,5,6,4,6,relu,softmax,0.4603429774202581,0.08394317556154676,0.8287983331855974,0.309571112619075,0.8173197695840021,0.8503886289630708,0.005525721295839575,0.007878135453151826,0.007024114366215139,767,1634,True,2,2,2,0.14569999277591705,1916.4763214588165
3,1,3,122,516,431,356,435,479,5,3,6,5,5,6,relu,softmax,0.4177270271269869,0.022200203575646532,0.8178244027449523,0.46657160618567095,0.06745886198852015,0.09925795268162742,0.34516428695322027,0.0002869759943708735,0.006925631342063088,1189,524,True,2,2,2,0.23499999940395355,1980.788646221161
4,2,2,590,420,14,174,277,40,3,5,7,7,2,4,relu,softmax,0.32942018867881245,0.27367021559938354,0.007709207558651985,0.7502484667438294,0.07869855341730328,0.5676831906867105,0.4536724114066112,0.008342082256587438,0.0020758956999124886,1838,661,True,2,2,2,0.4514999985694885,2067.3460054397583
1,2,1,131,310,256,254,286,125,1,2,2,7,6,7,relu,softmax,0.8462113712436719,0.6236213073197571,0.7808583033815573,0.32981731713951834,0.038901897458002994,0.8768861303076007,0.01546551986622597,0.0005783055091779292,0.004598451745122976,1527,830,True,2,2,2,0.10000000149011612,2256.271714448929
3,2,4,393,505,65,398,66,308,1,5,2,4,7,5,relu,softmax,0.6606989417232052,0.5587905600592455,0.8723182249909296,0.1775675049622745,0.855982100703573,0.4845101579201112,0.6047638068840159,0.0007890485015699335,0.004734430550074792,369,1754,True,2,2,2,0.10010000318288803,723.970189332962
4,1,3,142,436,278,215,518,576,4,4,3,4,3,5,relu,softmax,0.5664231548166183,0.8783850476220111,0.29809912102266306,0.1067989463195951,0.5133528889575241,0.8157197264439706,0.7056577612278326,0.008326542878450255,0.0033060009082163237,1955,1125,True,2,2,2,0.14090000092983246,1157.153983592987
4,3,4,463,157,304,504,521,171,2,2,7,3,5,7,relu,softmax,0.42345594217352317,0.34911479707126736,0.338370159077501,0.5760475167490814,0.4453199715041367,0.7642205318671796,0.7872330388741976,0.0072011862288913955,0.009153627009339216,474,15,True,2,2,2,0.10000000149011612,2627.591173171997
2,2,2,48,470,15,99,332,215,3,3,3,2,6,4,relu,softmax,0.7623437565143106,0.48606374309860184,0.3728550200624185,0.8794648441064304,0.5239134125241443,0.780187555783433,0.8579636238056972,0.005016654619346089,0.003207730159664759,718,419,True,2,2,2,0.10000000149011612,424.1220109462738
3,1,4,21,428,80,381,565,463,4,3,2,1,6,2,relu,softmax,0.27489546909780227,0.2893230155282446,0.14367534362815518,0.18467249822731074,0.7096987722890108,0.1504845971339961,0.0256213680856118,0.007619591702040927,0.006605278095003606,970,1391,True,2,2,2,0.2833999991416931,1474.2582619190216
