s_0,s_1,s_2,filters_0,filters_1,filters_2,filters_3,filters_4,filters_5,k_0,k_1,k_2,k_3,k_4,k_5,activation,activ_dense,dropout_0,dropout_1,dropout_2,dropout_3,dropout_4,dropout_5,dropout_6,lr,l2,dense_size_0,dense_size_1,max_pooling,stack_0,stack_1,stack_2,perf,time
3,3,2,316,364,262,300,326,381,5,3,5,4,3,3,relu,softmax,0.2735419753005658,0.39627873235398436,0.211740084347702,0.23728798977683233,0.19737359774958377,0.1548662952689658,0.14294941233327377,0.007924186248913175,0.001399408654241816,1460,1488,True,2,2,2,0.7389000058174133,1542.2562096118927
4,2,3,316,361,395,307,264,305,5,6,6,6,6,5,relu,softmax,0.24438284515348505,0.23518702753245072,0.2271699255990995,0.25276347557381285,0.3835151660183811,0.2644611318376455,0.3859532614789418,0.006736888767498731,0.0009688201198664022,610,641,True,2,2,2,0.7620999813079834,2052.2749149799347
3,3,4,300,312,253,331,355,309,5,3,4,4,5,3,relu,softmax,0.32670453311485603,0.17960274244207997,0.19300655386483073,0.2583729483831773,0.16477768028168727,0.3653413940726583,0.1256106337979696,0.005370123470192429,0.0014316902387395947,1172,1453,True,2,2,2,0.7067000269889832,1621.363003730774
3,4,2,373,308,342,328,339,362,6,5,6,4,6,5,relu,softmax,0.288310124080222,0.21269462064790026,0.14231793984768915,0.3127971558327902,0.3563695506823722,0.3057563477204476,0.10536354521044543,0.00808791343924668,0.002894010927790427,977,611,True,2,2,2,0.7153000235557556,5618.333852052689
3,3,4,295,387,316,373,275,394,3,4,3,6,4,3,relu,softmax,0.1800411346276754,0.13511244480653306,0.10481764680403412,0.13210320178132628,0.18777893308718285,0.26553701907384875,0.11920002482571607,0.004104914981431516,0.0017013283578960208,690,914,True,2,2,2,0.7113999724388123,1081.3942465782166
4,2,3,324,371,357,397,386,295,3,6,4,3,6,5,relu,softmax,0.23331470869031948,0.35482668083646707,0.28475316832637076,0.18769885475279005,0.22622806233293824,0.3120083141027544,0.39197822300916985,0.00860368967846528,0.0023332866531647653,1402,1003,True,2,2,2,0.7577000260353088,1840.3295278549194
2,2,3,253,268,264,316,372,384,6,6,6,6,5,5,relu,softmax,0.1540870391846922,0.31724079364978996,0.3436718615826242,0.3037386494004586,0.28207668406796216,0.2694438343258547,0.3582791447736088,0.004310350683542556,0.0009268301902826241,567,1491,True,2,2,2,0.8101999759674072,3161.2552263736725
4,2,4,313,311,303,369,273,336,3,6,5,5,6,3,relu,softmax,0.1226934041972049,0.23884919715964237,0.3967768715845177,0.33088004538841975,0.388622613411167,0.3338903068400437,0.3624645902326433,0.0060867073663316285,0.0006127725157133402,1106,1207,True,2,2,2,0.8079000115394592,1444.449672460556
3,3,3,355,308,378,280,294,306,5,4,6,3,6,4,relu,softmax,0.219277560793194,0.28747674093653697,0.33394560268694307,0.33517758374256634,0.2557840247185814,0.35738558362070094,0.2174134280091241,0.008248055932555398,0.0019504872581199424,838,1335,True,2,2,2,0.7879999876022339,2688.187355995178
3,4,3,291,395,367,259,286,387,5,3,6,3,5,3,relu,softmax,0.1986499140643571,0.3629287824527305,0.3529597424871056,0.3856175254891633,0.33703285368012836,0.29787904811764454,0.35697533326823727,0.007872801249572936,0.0022548620614364703,593,1493,True,2,2,2,0.7300000190734863,2046.9992961883545
3,3,4,259,301,268,369,349,285,4,5,4,4,6,5,relu,softmax,0.3679416155138301,0.20272984251471304,0.39945936378635727,0.10105139905931748,0.10828892674252454,0.34715215455135817,0.15983880604991563,0.004383697568726281,0.0015136786822174469,917,710,True,2,2,2,0.5303000211715698,2667.525409936905
3,2,3,351,277,255,325,313,296,5,3,5,6,6,5,relu,softmax,0.12900691490132293,0.16793818112741649,0.3693115679417742,0.39390752393074857,0.29429787569208843,0.37504698760702615,0.29282257012042756,0.008655790455553111,0.0015970918452103274,1372,1491,True,2,2,2,0.8212000131607056,1923.0499475002289
3,3,3,300,304,299,296,258,261,3,3,3,3,3,3,relu,softmax,0.3778642316195707,0.34450233309512734,0.19695693544953802,0.3946793684067089,0.3125861201305393,0.11873480670003454,0.1105482139865916,0.007408679760328054,0.002424645014197234,890,1430,True,2,2,2,0.43130001425743103,1004.031777381897
2,2,2,387,365,348,313,311,266,4,3,6,3,6,4,relu,softmax,0.36720000276757225,0.3155593954366739,0.12189049987770632,0.34633783134555396,0.24791053646206146,0.35403490815064886,0.28022193233511805,0.005670003594132969,0.0011884392036873616,919,960,True,2,2,2,0.6319000124931335,5955.087113618851
3,2,4,303,339,338,287,290,310,4,6,3,3,6,4,relu,softmax,0.3835237593423496,0.3960432045396268,0.11347284895261947,0.14510376241952996,0.2270572276903068,0.1559000429033222,0.209164118088065,0.004560568241690981,0.0026174964993931713,548,1395,True,2,2,2,0.40139999985694885,3059.035093307495
2,4,4,262,288,385,298,386,390,6,6,3,4,3,6,relu,softmax,0.1408683334955347,0.15432421069238234,0.2895946278949919,0.28473693969403735,0.2652297179116459,0.1751504274087819,0.21133590736561964,0.006373240788909024,0.0005349519795987796,1274,1350,True,2,2,2,0.795199990272522,2631.256899356842
4,4,3,319,290,297,269,307,291,4,3,4,4,5,6,relu,softmax,0.3666079644354395,0.1720681499186636,0.18406492209717135,0.11593618725970034,0.3386745509626849,0.22511657086981168,0.16873498417341973,0.007163551549830963,0.0008444638016877422,802,791,True,2,2,2,0.5830000042915344,2968.07337641716
4,3,4,393,259,277,338,368,257,4,5,3,3,5,4,relu,softmax,0.1357685733453576,0.2947275221615645,0.27014892637401766,0.26602886834911826,0.10955702875847803,0.24079089890800215,0.37738684535275857,0.008157266171226776,0.0006911100223757062,799,1360,True,2,2,2,0.8184999823570251,4331.439846992493
2,3,2,323,309,295,363,286,282,6,3,5,3,5,3,relu,softmax,0.23704489786189598,0.3477560303016895,0.19392495080540562,0.21524805492774451,0.37284313251036727,0.3510710335949965,0.29951443371476805,0.008516033339578948,0.002804666088787565,811,821,True,2,2,2,0.6862999796867371,3646.7717962265015
2,3,2,287,296,345,395,250,380,4,6,5,5,3,6,relu,softmax,0.342509407053045,0.17902108358675337,0.10117879642666534,0.24863775787088335,0.13006847699286528,0.32631278665747293,0.1828225408208231,0.00814712702093166,0.001549237308748993,872,1289,True,2,2,2,0.6597999930381775,2919.1990883350372
3,2,3,375,362,365,398,348,354,3,5,3,6,5,3,relu,softmax,0.3119588896909573,0.328150601325172,0.2569534029518502,0.3772713102442399,0.34751167318700854,0.35316548969968975,0.30190273028891573,0.00886182742389989,0.0014639072002758003,1156,951,True,2,2,2,0.6808000206947327,1593.8804087638855
4,4,3,293,354,289,379,375,347,5,4,5,3,4,5,relu,softmax,0.1695370832849739,0.37041998236877005,0.35017498013831105,0.266059265607155,0.28483324012471634,0.24229767116508732,0.21749996286364268,0.005762639256319257,0.0006043119821337582,1391,834,True,2,2,2,0.7560999989509583,1431.3836805820465
4,2,2,284,311,253,334,349,373,3,3,4,4,5,3,relu,softmax,0.3509560583342737,0.3443523904391595,0.2935248075900359,0.2098046162775628,0.19122108543407712,0.10256643103545106,0.3500822676064721,0.004077499583451605,0.0025416968481898083,950,1331,True,2,2,2,0.43470001220703125,1251.6358149051666
3,2,4,370,281,261,357,278,388,3,5,4,6,3,3,relu,softmax,0.3724396169681893,0.38346269257316334,0.10183859419410424,0.23924055615961964,0.10739681671206787,0.3726078298908718,0.25552226342037276,0.007471159394115686,0.0018487589761250153,1129,1385,True,2,2,2,0.4424999952316284,1404.1360421180725
4,3,4,322,382,346,262,293,386,3,3,3,5,6,3,relu,softmax,0.37464306436549955,0.13768381105609062,0.2255340369148684,0.20336857239636263,0.24944521607534453,0.23728956236355256,0.2556668594953244,0.004384055138199602,0.0014490661660317783,1091,1198,True,2,2,2,0.46160000562667847,1332.9914367198944
3,4,4,273,298,273,304,321,361,6,4,6,3,3,5,relu,softmax,0.10995894583164097,0.39902877549592275,0.1296856905059605,0.3047925404335182,0.175850860922437,0.21759433387208807,0.2937802554402815,0.0059742049988251045,0.0025516204501234555,949,689,True,2,2,2,0.7613999843597412,2755.0675032138824
2,3,2,392,282,255,355,393,362,5,3,6,3,4,5,relu,softmax,0.23309369398104365,0.12611006952746628,0.18599777453417582,0.3344470729775716,0.14547637357069584,0.29414786833808726,0.3752277558413504,0.0042983582784124836,0.0021364412854353466,695,1039,True,2,2,2,0.7057999968528748,3053.495004415512
4,4,2,270,390,361,256,252,293,6,3,4,6,5,3,relu,softmax,0.3039510279273161,0.34330650678766805,0.13269148879117476,0.17521954780061635,0.3683616556721774,0.3145316840854268,0.2918661479131934,0.004846995628163036,0.0017601775096416832,625,798,True,2,2,2,0.6841999888420105,2727.896143913269
4,4,2,387,272,374,300,379,397,4,5,6,5,6,6,relu,softmax,0.13872890495789003,0.2369535270165371,0.1815083848507778,0.20557151672759827,0.1282937954388243,0.22843841521304253,0.39497728328847104,0.005905353382172111,0.0013197217965928618,1302,1406,True,2,2,2,0.7563999891281128,4669.807286977768
4,4,4,251,374,343,305,397,393,6,4,5,4,5,6,relu,softmax,0.23094620479231215,0.17516381767933847,0.20033385606349743,0.20246443507695291,0.38779717135246417,0.3395839047770354,0.23756463144382006,0.006140878437310752,0.0024501523080454205,1307,1449,True,2,2,2,0.7164000272750854,2310.628041744232
2,3,4,296,372,371,320,393,367,4,3,6,6,4,3,relu,softmax,0.3464939791493501,0.13668661635417986,0.3545762971092635,0.22422058583213278,0.17610904899874325,0.36093057040417775,0.2296074398901225,0.004449289590000234,0.0026758189842617302,1194,696,True,2,2,2,0.6090999841690063,4313.260504961014
2,3,4,354,310,273,381,294,355,6,5,6,5,4,3,relu,softmax,0.2674146926888463,0.11698449194041703,0.15096486254824748,0.18558931626706848,0.18478768178544797,0.3020262400740612,0.10550459850208978,0.005202744241072935,0.002202942740176319,1275,1176,True,2,2,2,0.7008000016212463,5712.916305303574
2,4,4,349,285,274,293,335,257,3,5,5,6,4,4,relu,softmax,0.13667025785635784,0.24819249649157982,0.1829231623281024,0.27061838249444803,0.23549100540496706,0.23048773190536506,0.13359189114609799,0.006314686667885917,0.0011244225321482882,658,732,True,2,2,2,0.8434000015258789,1602.4329009056091
4,4,4,279,287,324,306,388,359,5,5,4,3,5,5,relu,softmax,0.12622980924809274,0.28922649941223033,0.2512224840520265,0.2580068076779054,0.3780138535923321,0.10948450338137264,0.3320176673886317,0.008399928457804181,0.0029176385080707753,878,500,True,2,2,2,0.699400007724762,1601.7135820388794
2,3,4,270,377,367,319,399,283,4,4,3,3,4,6,relu,softmax,0.19137398412617473,0.11068893861704181,0.38069653882286336,0.2758361046416491,0.1894428913444421,0.14474053235426135,0.34885694965022646,0.007678702249467246,0.0013580754374188787,1083,1255,True,2,2,2,0.8025000095367432,2904.4498386383057
2,2,2,306,333,369,289,296,377,5,3,5,3,5,5,relu,softmax,0.29913002083651,0.22426016629139306,0.11336698948529597,0.33533246262121874,0.3036139708646062,0.24184133923381743,0.3699278846104773,0.007979163294752206,0.0023183837926898988,1186,575,True,2,2,2,0.7246000170707703,1995.3416438102722
3,3,4,331,347,360,368,350,333,3,4,4,5,6,5,relu,softmax,0.10557121562952966,0.36659280080888657,0.1680702301731425,0.3787841955057428,0.3152303352634761,0.32879604697344533,0.16043844873794813,0.0076526601050268105,0.0015444016790613557,1449,1424,True,2,2,2,0.8324999809265137,1856.977056503296
2,2,3,391,337,289,369,395,260,4,4,3,3,6,6,relu,softmax,0.11823078051887226,0.1711444219709507,0.2278300461942581,0.3191698811300215,0.2873006579653617,0.17128636526812613,0.25098113443017533,0.007047804109524049,0.0020690168033301592,826,1290,True,2,2,2,0.8282999992370605,4752.732011556625
4,3,3,294,371,363,371,264,369,4,5,6,5,4,6,relu,softmax,0.14197569316809824,0.2539424504539831,0.17272564416616326,0.1552994046964574,0.11945026563585737,0.3287957676268423,0.22823257625696802,0.007765288049574546,0.0020569029808504714,575,1334,True,2,2,2,0.7925000190734863,2902.7852766513824
4,3,2,296,378,256,288,278,347,5,5,3,5,6,5,relu,softmax,0.11215020594457586,0.28380055892184386,0.3418335452975215,0.2313398593824321,0.26637420146068735,0.3399488362149705,0.2831518522125458,0.00470261862090043,0.002562090692884395,1173,781,True,2,2,2,0.7224000096321106,1362.1309127807617
3,4,2,295,328,316,317,262,266,5,4,3,4,6,6,relu,softmax,0.296868397122642,0.21551237135212353,0.3509419574997914,0.3849865027996613,0.3416910775824755,0.21326362689866718,0.3366059287694273,0.005412021644229321,0.001218449788138921,1386,599,True,2,2,2,0.6927000284194946,1519.444227695465
4,2,2,391,350,397,336,302,252,3,3,4,3,6,3,relu,softmax,0.14231490707495206,0.34632357323405505,0.3657648212715233,0.17040505986557508,0.13403815045743073,0.11602500158035318,0.2824892841225691,0.004843008456187762,0.0016627216572863627,852,891,True,2,2,2,0.7222999930381775,2117.7331762313843
2,2,4,330,262,262,344,355,292,4,4,5,5,4,6,relu,softmax,0.15994627610240925,0.34330483307879683,0.14715474148251206,0.16313866514260106,0.20980401755204536,0.36410445875559705,0.13953600059023308,0.006892800275995599,0.0017834751838204526,1193,1359,True,2,2,2,0.833299994468689,3615.2463014125824
4,4,3,387,275,367,333,341,374,3,3,6,3,4,6,relu,softmax,0.31460596375006167,0.2118429967609617,0.30390276024719187,0.3138876446678579,0.38060268441907164,0.11946209135053218,0.15768751696932395,0.004092777695349302,0.0019092555485454791,1319,1437,True,2,2,2,0.5385000109672546,1833.8650531768799
3,2,2,288,304,276,258,374,285,6,6,3,6,5,4,relu,softmax,0.12248320380954905,0.13308301848297008,0.21505270734782173,0.3820702578618669,0.3078727454704243,0.36028565985673977,0.2099369939019939,0.004863773230059835,0.0007205858132140862,1495,1381,True,2,2,2,0.8090999722480774,2723.751739025116
4,2,4,380,335,331,265,348,261,3,4,4,3,6,4,relu,softmax,0.12055779627909645,0.36039818000083323,0.3377761480100706,0.2723926211865517,0.12509902301535497,0.18199370759611588,0.1893159544175551,0.007049058289893507,0.002999678595685335,1489,668,True,2,2,2,0.7466999888420105,1839.6561920642853
2,2,3,306,310,298,375,307,282,6,5,5,4,5,4,relu,softmax,0.11561571951019214,0.11144608178061316,0.2289453094424146,0.11892255230289003,0.3367431853878736,0.2588689280945012,0.10871163479793233,0.004504023924342788,0.0016522031917324035,509,1100,True,2,2,2,0.8055999875068665,3420.3729207515717
3,3,3,367,295,324,356,311,288,6,6,5,5,6,4,relu,softmax,0.150522384703009,0.31835676041504407,0.1551216777527284,0.25344603076265004,0.12797803605424954,0.37626584734905855,0.20318818407507028,0.006527708617148697,0.0018705397766373016,796,1074,True,2,2,2,0.7886000275611877,5054.900692939758
4,3,2,333,271,386,355,319,303,6,5,4,3,4,6,relu,softmax,0.24843830648256204,0.3547396743965532,0.36241059529801367,0.15116811340195555,0.1408700954637177,0.28912027781079985,0.19036772441868383,0.008563012608694505,0.001283319580378289,1413,806,True,2,2,2,0.7426999807357788,3762.4171798229218
4,3,4,268,398,359,282,392,310,4,5,3,6,5,6,relu,softmax,0.16742807129764586,0.2839156077608436,0.2884838377195641,0.3202320942643381,0.2862622562670404,0.39077263913741145,0.15918649261512055,0.007672462003055254,0.0022492367523934127,1225,1150,True,2,2,2,0.7366999983787537,2527.465874195099
3,2,2,366,384,372,319,344,357,4,3,5,4,5,3,relu,softmax,0.20084789949552967,0.1882965232693708,0.3618388975238329,0.3390962964276957,0.25449394319450347,0.139220421837355,0.16452144143951575,0.0040057297531412815,0.0016981059375983263,761,1029,True,2,2,2,0.7459999918937683,4057.5699014663696
3,3,2,333,285,393,268,383,282,3,4,4,5,5,4,relu,softmax,0.15431510814164426,0.3877021260293304,0.2916217768867714,0.3541140756611665,0.26201971458525153,0.22428305427696482,0.39315487197849885,0.006004062221578748,0.001654952064166025,583,747,True,2,2,2,0.8102999925613403,1738.0002772808075
4,3,4,257,359,260,306,344,333,4,5,4,4,5,4,relu,softmax,0.11204181644962306,0.26397827904917337,0.12648345789052284,0.3987569287534487,0.3691889765599884,0.10632419812856109,0.35759487367078924,0.006681748139497779,0.002527771285857062,723,1013,True,2,2,2,0.7551000118255615,2448.817967414856
2,2,3,277,345,362,328,363,301,4,3,4,4,3,6,relu,softmax,0.1129641098649995,0.39229529116132433,0.10515189719871088,0.38429549592432677,0.21060322715474344,0.10302712150656446,0.3067471695173525,0.0082631611638577,0.001526954357273587,1322,761,True,2,2,2,0.8393999934196472,3770.215185880661
3,3,2,252,382,298,264,392,280,6,3,6,6,5,6,relu,softmax,0.39416209120940626,0.3896877168512778,0.14828110336072553,0.1543743418198465,0.26966167438589805,0.2911914479284974,0.32182537409975975,0.004700128447349428,0.001864442883062344,1274,1017,True,2,2,2,0.6947000026702881,2759.9709248542786
3,3,3,270,388,325,348,335,316,6,3,4,5,5,3,relu,softmax,0.336565552602477,0.15015875636418052,0.10853721755317675,0.2888064827886816,0.39279493581773506,0.19936414438693645,0.1355967109588757,0.007729773089519997,0.0017651847461667754,1123,1397,True,2,2,2,0.7113000154495239,2811.1163754463196
3,2,4,256,305,280,331,323,295,5,5,3,4,5,4,relu,softmax,0.2711161976102593,0.3719062633286939,0.3352185339485437,0.2867547605238148,0.19451694898227984,0.26256405198286603,0.12737345239127662,0.007153435941561582,0.0007130352172544272,1420,761,True,2,2,2,0.7567999958992004,1308.882268190384
2,2,2,356,394,381,352,327,336,6,6,5,4,6,3,relu,softmax,0.28799310499352754,0.31827800299142306,0.3037949995940661,0.2411502157269047,0.21636955868551896,0.21278797289219914,0.2920146390790169,0.007632630968049614,0.000779599512104031,1287,683,True,2,2,2,0.7404999732971191,5480.468717575073
2,3,3,275,262,341,345,291,314,3,6,5,5,4,3,relu,softmax,0.37582888016752236,0.20606446676903656,0.31585049651432984,0.2326311238623337,0.29656974537290326,0.20209522128945745,0.19676777098998052,0.005445248664728896,0.0006936951649093264,880,1478,True,2,2,2,0.583899974822998,1622.8594796657562
